ID,Year,Site,Lat,Lon,Sex,Days in lab,RBM,AGD.c,TotalVocalizations,note_num,call_length,trill_rate,call_Hz_max,call_Hz_min,call_BW_mean,call_BW_max,call_DF,entropy
SGTm072,2015,MH,9.58061,-83.79934,M,3,-0.952290954,0.818185909,8,78,7.585,10.3,86975.1,9160,45949.05,77850,26826.6,-4.17
SGTm073,2015,QERC,9.55262,-83.80635,M,2,0.047709046,0.257276589,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm075,2015,MH,9.58061,-83.79934,M,2,-1.043197759,-0.303632731,3,76,6.346,12,53863.54,10388,27720.48,43500,27336.84,-4.922
SGTm076,2015,QERC,9.55262,-83.80635,M,3,1.138615852,0.257276589,5,97,7.44,13,82397.5,9160,29597.3,73200,21068,-4.35
SGTm077,2015,MH,9.58061,-83.79934,M,3,-1.270477343,-0.303632731,5,35.91666667,2.98525,16.28333333,50036.11667,10238.33333,20924.475,39816.66667,22317.36667,-4.376666667
SGTm078,2015,QERC,9.55262,-83.80635,M,3,1.356802241,-0.303632731,7,91,8.51141632,10.69152261,40435.79102,9155.273438,27046.62281,31280.51758,18558.65121,-4.855048414
SGTm079,2015,QERC,9.55262,-83.80635,M,4,1.347709046,0.257276589,1,82.5,7.715,10.7,80490.1,8775,25552.75,71700,20555.6,-4.45
SGTm081,2015,QERC,9.55262,-83.80635,M,4,-0.052290954,0.257276589,0,65.66666667,5.026666667,13.06666667,66121.43333,8903.333333,27411.83333,57200,30639.76667,-5.033333333
SGTm083,2015,MH,9.58061,-83.79934,M,3,0.647709046,-0.640178323,3,81.5,7.335,11.125,48446.65,9925,22524.675,38525,25207.25,-4.6175
SGTm084,2015,MH,9.58061,-83.79934,M,3,-0.643197759,-0.303632731,4,67.66666667,4.55,15.90333333,40054.31667,10420,23603.81667,29633.33333,24346.93333,-5.261666667
SGTm085,2015,MH,9.58061,-83.79934,M,4,-1.970477343,0.257276589,2,67.5,5.48625,12.155,51116.9375,9257.5,24677.5125,41862.5,22185.9125,-4.7275
SGTm086,2015,MH,9.58061,-83.79934,M,4,-0.352290954,0.257276589,0,76,6.15,13.38,48980.7,9920,20336.78,39060,26077.4,-4.894
SGTm087,2015,QERC,9.55262,-83.80635,M,5,1.938615852,0.818185909,0,60.5,6.71,9.03,72097.75,9930,36244.55,62200,26104.95,-4.36
SGTm088,2015,MH,9.58061,-83.79934,M,2,-2.252290954,0.257276589,0,104,7.64,13.6,66375.7,3810,26468.1,62600,21842.1,-4.81
SGTm089,2015,QERC,9.55262,-83.80635,M,2,-2.152290954,-0.303632731,0,61,5.24,11.235,64086.925,8955,28440.425,55125,21656.675,-4.8025
SGTm090,2016,QERC,9.55262,-83.80635,M,3,1.765895435,0.537731249,4,95.2,7.228,13.16,63476.58,9158,25956.92,54340,21020.32,-4.594
SGTm091,2016,QERC,9.55262,-83.80635,M,3,1.556802241,-0.303632731,2,79.66666667,7.443333333,10.73333333,46285,8903.333333,25986.73333,37366.66667,29822.93333,-4.333333333
SGTm092,2016,QERC,9.55262,-83.80635,M,1,0.243162449,0.818185909,4,89.66666667,7.04,12.76666667,60780.86667,8903.333333,23667.83333,51900,27118,-4.616666667
SGTm093,2016,QERC,9.55262,-83.80635,M,2,3.138615852,0.818185909,6,82.83333333,7.326666667,11.33333333,80108.63333,7501.666667,32085.8,72583.33333,29306.43333,-4.575
